uid,summary
id_2002-AGENDA_3," 제 8 회 청주시 의회 전반기 상임 위원회 위원장 선거는 총 8 표 중에서 임 옥순 의원 8 표로 윤창규 의원 당선 . 자치행정 위원장 선거는 총 8 표 중에서 임 귀현 의원 당선 . 상임 위원장 선거는 총 8 표 중에서 윤 수봉 의원 6 표 , 무효 1 표로 김영섭 의원 당선."
id_2002-AGENDA_4, 제 78 회 완주군 의회 제 1 차 정례회 제 1 차 본회의개의선포.
id_2002-AGENDA_5, 제 2 대 청주시 의회 전반기 의회 운영 위원회 위원장 선거는 총 투표수 39 표 중에서 윤 수봉 의원 39 표로 윤 수봉 의원 당선 . 복지 교육 위원회 위원장 선거는 총 10 표 중에서 최상철 의원 6 표로 윤 수봉 의원 당선 . 산업 건설 위원회 위원장 선거는 총 6 표 중에서 윤 수봉 의원 당선 . 산업 건설 위원
id_2002-AGENDA_6, 제 164 회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2002-AGENDA_7, 제 164 회 제 2 차 정례회 휴회의건은 행정 사무 감사 특별 위원회 활동을 하는 의사일정으로 갈음함.
id_2002-AGENDA_8, 제 164 회 제 2 차 정례회 제 1 차 본회의휴회의건은 감사 감사 계획서 작성 등 행정 사무 감사 특별 위원회 활동을 하는 의사일정으로 갈음함.
id_2002-AGENDA_9, 제 164 회 완주군 의회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2002-AGENDA_10, 제 2 차 본회의에 시 시 의결한한한한 바 있어 집회 중 2002 년도 세입 세출 추가 경정 예산안과 2001 년도 예산 결산을 심의하기 위하여 예산 결산 특별 위원회를 구성하고자함. 활동 기간은 2018 년 7 월 구성함 . 활동 기간은 2013 년 7 월 10 일부터 2014 
id_2002-AGENDA_11, 제 2 대 청주시 의회 전반기 상임 위원장 선거는 총 투표수 39 표 중에서 윤 수봉 의원 39 표로 윤 수봉 의원 당선 . 자치행정 위원회 위원장 선거는 총 투표수 39 표 중에서 최찬영 의원 6 표로 최찬영 의원 당선 . 부의장 선거는 총 39 표 중에서 임 귀현 의원 2 표로 임 귀현 의원 당선.
id_2002-AGENDA_12, 제 164 회 완주군 의회 임시회 제 1 차 본회의개의선포.
id_2002-AGENDA_13, 제 164 회 완주군 의회 임시회 제 1 차 본회의개의선포.
id_2003-AGENDA_1, 제 2 대 청주시 의회 전반기 의장 선거는 총 투표수 39 표 중에서 김현기 의원 39 표로 김현기 의원 부의장 부의장 부의장 부의장 부의장 부의장 부의장 선거는 총 투표수 39 표로 김현기 의원 당선.
id_2003-AGENDA_2, 제 164 회 제 2 차 정례회 제 8 차 본회의개의선포.
id_2003-AGENDA_3, 제 164 회 제 2 차 정례회 휴회의건은 행정 사무 감사 특별 위원회 활동을 하고자 하는 의사일정으로 갈음함.
id_2003-AGENDA_4, 제 164 회 제 2 차 정례회 휴회의건은 행정 사무 감사 특별 위원회 활동 의사일정으로 갈음함.
id_2003-AGENDA_5, 제 164 회 제 2 차 정례회 회의록 서명 의원으로 한동완 의원과 우성 수 의원이 선출됨.
id_2004-AGENDA_1, 제 99 회 완주군 의회 제 1 차 정례회 제 1 차 본회의개의선포.
id_2004-AGENDA_2, 제 2 대 완주군 의회 전반기 의회 운영 위원회 간사로 서남용 의원이 의회 운영 위원장 선거는 총 투표수 39 표 중에서 윤 수봉 의원이 선임됨.
id_2004-AGENDA_3, 제 8 대 완주군 의회 의회 전반기 의회 운영 위원회 위원장 선거를 진행함. 의장 선거는 총 8 표 중에서 이인숙 의원 9 표로 서남용 의원 당선 . 자치행정 위원장 선거는 총 10 표 중에서 이인숙 의원 6 표로 유 의식 의원 당선 . 산업 건설 위원장 선거는 총 10 표 중에서 임 귀현 의원 6 표
id_2004-AGENDA_4, 제 158 회 완주군 의회 임시회 회기는 7 월 7 일부터 7 월 6 일까지 7 일 간으로 가결됨.
id_2005-AGENDA_1," 제 2 대 청주시 의회 전반기 의회 운영 휘 원회 위원장 선거는 총 투표수 39 표 중에서 김현기 의원 39 표로 윤 수봉 의원 당선 . 자치행정 위원장 선거는 총 투표수 39 표 중에서 이인숙 의원 6 표로 최찬영 의원 당선 . 산업 건설 위원회 위원장 선거는 총 6 표 중에서 임 귀현 의원 6 표 , 무효 1 표"
id_2005-AGENDA_2, 제 164 회 완주군 의회 임시회 회의록 서명 의원으로 서남용 의원과 이인숙 의원이 선출됨.
id_2005-AGENDA_3, 제 279 회 제 1 차 정례회 제 5 차 본회의개의선포.
id_2005-AGENDA_4," 제 8 대 완주군 의회 전반기 상임 위원회 위원장 선거를 진행함. 의회 운영 위원장 선거는 총 8 표 중에서 최 등원 의원 10 표 , 기권 1 표로 이인숙 의원 당선 . 자치행정 위원장 선거는 총 10 표 중에서 임 귀현 의원 6 표 , 윤 수봉 의원 1 표로 임 귀현 의원 당선."
id_2005-AGENDA_5, 제 164 회 제 2 차 정례회 휴회의건은 예산 결산 특별 위원회 활동 의사일정으로 갈음함.
id_2005-AGENDA_6," 제 2 차 정례회 회의록 서명 의원으로 남궁유 의원 , 한동완 의원이 선출됨."
id_2006-AGENDA_1, 제 192 회 완주군 의회 제 1 차 정례회의회기는 7 월 7 일부터 7 월 17 일까지 10 일 간으로 가결됨.
id_2006-AGENDA_2, 제 164 회 제 2 차 정례회 회의록 서명 의원으로 정태완 의원과 한동완 의원이 선출됨.
id_2006-AGENDA_3," 제 2 차 정례회 기간 중 9 일 간 행정 사무 감사를 실시하고 행정 사무 감사를 실시하기 위해 감사 특별 위원회를 구성하고자함. 특별 위원회는 9 월 28 일부터 9 월 30 일까지 2 일 간 운영됨. 예산 결산 특별 위원회 위원은 이한철 의원 , 윤병승 의원 , 김우식 의원 "
id_2006-AGENDA_4, 제 164 회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2006-AGENDA_5, 제 8 회 청주시 의회 ( 2018 년 도제 2 차 정례회 ) 제 1 차 본회의개의선포.
id_2006-AGENDA_6, 제 164 회 제 2 차 정례회 제 8 차 본회의개의선포.
id_2006-AGENDA_7, 제 164 회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2006-AGENDA_8," 제 8 회 완주군 의회 전반기 의장 선거는 총 8 표 중에서 윤병승 의원 6 표로 정태완 의원 당선 . 부의장 선거는 총 8 표 중에서 정태완 의원 4 표 , 무효 1 표로 윤창규 의원 당선 . 부의장 선거 1 차 투표는 총 8 표 중에서 정태완 의원 1 표 , 정지태 의원 1 표로 윤창규 의원 당선"
id_2006-AGENDA_9, 제 8 대 완주군 의회 전반기 의장 선거는 총 10 표 중에서 정성모 의원 5 표로 정성모 의원 당선 . 부의장 선거는 총 10 표 중에서 김용찬 의원 6 표로 이인숙 의원 당선.
id_2006-AGENDA_10, 제 251 회 완주군 의회 제 2 차 정례회 회의록 서명 의원으로 이희창 의원이 선출됨.
id_2006-AGENDA_11, 제 8 대 완주군 의회 전반기 상임 위원회 위원장 선거를 위하여 의회 운영 위원회를 보임.
id_2006-AGENDA_12, 제 8 대 완주군 의회 전반기 운영 위원회 위원장 선거는 총 10 표 중에서 정성모 의원 9 표로 정성모 의원 당선 . 자치행정 위원장 선거는 총 10 표 중에서 김용찬 의원 6 표로 이인숙 의원 당선 . 산업 건설 위원장 선거는 총 10 표 중에서 임 귀현 의원 6 표로 서남용 의원 당선.
id_2006-AGENDA_13," 제 8 대 완주군 의회 의회 전반기 의회 운영 위원회 위원장 선거는 총 10 표 중에서 이인숙 의원 6 표로 임 귀현 의원 당선 . 자치행정 위원장 선거는 총 10 표 중에서 임 귀현 의원 6 표 , 무효 1 표로 윤 수봉 의원 당선 . 산업 건설 위원회 위원장 선거 1 표 중에서 임 귀현 의원 2 표로 윤 수"
id_2007-AGENDA_1, 제 8 대 청주시 의회 전반기 의장 선거는 총 10 표 중에서 김용찬 의원 9 표로 정성모 의원 당선 . 부의장 선거는 총 10 표 중에서 정성모 의원 당선 . 부의장 선거는 총 10 표 중에서 김용찬 의원 5 표로 정성모 의원 당선.
id_2007-AGENDA_2," 제 8 대 청주시 의회 전반기 의회 운영 위원회 위원장 선거는 총 10 표 중에서 정성모 의원 8 표로 연장자인 정성모 의원 당선 . 자치행정 위원장 선거는 총 10 표 중에서 연장자인 정성모 의원이 당선 . 부의장 선거는 총 10 표 중에서 이재만 의원 6 표 , 무효 1 표로 이향자 의원 1 표로 이향자 의원 당"
id_2007-AGENDA_3, 제 164 회 제 2 차 정례회 휴회의건은 예산 결산 특별 위원회 활동을 하는 의사일정으로 갈음함.
id_2007-AGENDA_4," 제 2 차 정례회 기간 중 9 일 간 실시를 위해 감사 특별 위원회를 구성하고자 2019 년도 세입 , 세출 결산 특별 위원회를 구성하고자함. 예산 결산 특별 위원회 위원은 이희창 의원 , 서제일 의원 , 박웅배 의원 , 김순길 의원 , 박종관 의원 , 김영석 의원 , 이용칠 의원 , 조정석 의원 , 임원규 의원 , 선"
id_2007-AGENDA_5, 제 2 회 세입 세출 추가 경정 예산안 승인 안을 상정함. 해당 안건은 예산 결산 특별 위원회 위원 중에서 제외한 전 의장을 제외한 전 의원에게 부결됨.
id_2009-AGENDA_1, 제 164 회 완주군 의회 임시회 제 1 차 본회의개의선포.
id_2009-AGENDA_2, 제 164 회 제 2 차 정례회 휴회의건은 예산 결산 특별 위원회 활동을 하는 의사일정으로 갈음함.
id_2009-AGENDA_3, 제 154 회 완주군 의회 임시회 회기는 10 월 20 일부터 10 월 22 일까지 9 일 간으로 가결됨.
id_2009-AGENDA_4, 제 2 대 청주시 의회 전반기 의장 선거는 총 투표수 39 표 중에서 하재성 의원 39 표로 김현기 의원 부의장 당선.
id_2009-AGENDA_5, 제 78 회 완주군 의회 제 1 차 정례회 회기는 7 월 10 일부터 7 월 21 일까지 10 일 간으로 가결됨.
id_2010-AGENDA_1, 제 117 회 음성군 의회 임시회 회기는 2 월 21 일 1 일 간으로 가결됨.
id_2010-AGENDA_2, 제 99 회 완주군 의회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2010-AGENDA_3," 제 2 대 청주시 의회 전반기 의회 운영 위원회 위원으로 윤 수봉 의원 , 이인숙 의원이 선출됨. 자치행정 위원회 위원으로 서남용 의원 , 이인숙 의원 , 이인숙 의원 , 이인숙 의원 , 이인숙 의원 , 최 등원 의원 , 이인숙 의원이 선임됨. 산업 건설 위원회 위원으로 서남용 의원 , 윤 수봉 의원 , 유 의식 의원 , "
id_2011-AGENDA_1, 제 164 회 제 2 차 정례회 제 8 차 본회의개의선포.
id_2011-AGENDA_2, 제 2 차 정례회 기간 중 9 일 간 실시하는 행정 사무 감사 특별 위원회를 구성하고자함. 예산 결산 특별 위원회는 의장을 제외한 전 의원으로 구성하며 활동 기간은 2018 년도 제 2 차 정례회 본회의에서 행정 사무 감사 특별 위원회를 실시하고자함. 예산 결산 특별 위원회 위원
id_2011-AGENDA_3," 제 2 차 정례회 기간 중 9 일 간 행정 사무 감사를 실시하는 행정 사무 감사를 실시하기 위해 감사 특별 위원회를 구성하고자함. 행정 사무 감사 특별 위원회는 의장을 제외한 9 월 28 일부터 감사 특별 위원회 위원으로 송지용 의원 , 박웅배 의원 , 박웅배 의원 , 김순길 의원 , 박종관 의원 "
id_2011-AGENDA_4, 제 2 대 청주시 의회 전반기 부의장 선거는 총 투표수 39 표 중에서 하재성 의원 39 표로 김현기 의원 당선.
id_2011-AGENDA_5, 제 2 차 정례회 기간 중 9 일에 군정 질문 질문을 위해 완주 시장 및 관계 공무원의출석을 요구하여 가결됨.
id_2011-AGENDA_6," 제 8 대 청주시 의회 전반기 상임 위원회의의회 운영 위원회 위원장 선거를 선임함. 의장 선거는 총 7 표 중에서 최 등원 의원 9 표 , 기권 1 표 , 이인숙 의원 6 표 , 기권 1 표로 윤 수봉 의원 당선 . 건설 위원장 선거는 총 8 표 , 기권 1 표 중에서 임 귀현 의원 1 "
id_2011-AGENDA_7, 제 164 회 제 2 차 정례회 휴회의건은 예산 결산 특별 위원회 활동 의사일정으로 갈음함.
id_2012-AGENDA_1, 제 99 회 완주군 의회 임시회 회의록 서명 의원으로 조정석 의원과 이진철 의원이 선임됨.
id_2012-AGENDA_2, 제 99 회 완주군 의회 제 2 차 정례회 회기는 11 월 28 일부터 12 월 21 일까지 25 일 간으로 가결됨.
id_2012-AGENDA_3, 제 164 회 제 2 차 정례회 회의록 서명 의원으로 이한철 의원과 정태완 의원이 선출됨.
id_2012-AGENDA_4, 제 99 회 완주군 의회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2012-AGENDA_5, 제 164 회 제 2 차 정례회 휴회의건은 예산 결산 특별 위원회 활동 의사일정으로 갈음함.
id_2012-AGENDA_6," 제 2 회 세입 세출 결산 검사 대표 위원으로 김윤희 의원 , 검사 위원으로는 심주섭 전 음성 읍장 , 이장희 강동 대학 교수 , 전 전 전 음성 읍장을 선임함 . 결산 검사 기간은 2012 년 7 월 29 일부터 5 월 16 일까지 19 일 간으로 함. 해당 안건은 가결됨."
id_2012-AGENDA_7, 제 164 회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2013-AGENDA_1, 제 2 차 본회의에 예정되어 있어 있어 집회하는 의사일정 변경의건은 금일 의사일정 변경의건이 가결됨.
id_2013-AGENDA_2, 제 164 회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2013-AGENDA_3," 제 2 차 정례회 기간 중 9 일 간으로 행정 사무 감사를 실시하여 행정 사무 감사를 실시하고자 실시함. 특별 위원회는 이한철 의원 , 남궁유 의원 , 조천희 의원 , 손 달 섭 의원 , 이대웅 의원 , 이대웅 의원 , 김순옥 의원으로 구성함. 해당 안건은 가결됨."
id_2013-AGENDA_4, 제 2 대 청주시 의회 전반기 의회 운영 위원회 위원장 선거는 총 투표수 39 표 중 39 표로 이재길 의원 당선.
id_2013-AGENDA_5," 제 8 대 완주군 의회 전반기 의회 운영 위원회 위원장 선거를 진행함. 의회 운영 위원장 선거는 총 8 표 중에서 이인숙 의원 10 표 , 기권 1 표로 이인숙 의원 당선 . 자치행정 위원장 선거는 총 10 표 중에서 이인숙 의원 6 표 , 임 귀현 의원 1 표로 윤 수봉 의원 당선."
id_2013-AGENDA_6, 제 164 회 제 2 차 정례회 휴회의건은 예산 결산 특별 위원회 활동 의사일정으로 갈음함.
id_2013-AGENDA_7, 제 164 회 제 2 차 정례회 휴회의건은 예산 결산 특별 위원회 활동을 하는 의사일정으로 갈음함.
id_2014-AGENDA_1," 제 8 회 청주시 의회 전반기 상임 위원회 위원장 선거를 진행함. 의회 운영 위원회 위원 선거는 총 8 표 중에서 이인숙 의원 9 표 , 무효 1 표로 임 귀현 의원 당선 . 자치행정 위원회 위원장 선거는 총 8 표 중에서 임 귀현 의원 1 표로 윤 수봉 의원 당선."
id_2014-AGENDA_2," 제 8 대 완주군 의회 전반기 의장 선거는 총 10 표 중에서 정성모 의원 5 표 , 정성모 의원 1 표로 이재만 의원 당선."
id_2014-AGENDA_3, 제 164 회 제 2 차 정례회 휴회의건은 오늘부터 12 월 3 일까지 3 일 간 제 3 일 간 행정 사무 감사 특별 위원회 활동을 하는 의사일정으로 갈음함.
id_2014-AGENDA_4," 제 8 대 완주군 의회 전반기 상임 위원회 위원장 선거를 진행함. 의회 운영 위원장 선거는 총 8 표 중에서 이인숙 의원 2 표 , 기권 1 표로 이인숙 의원 당선 . 자치행정 위원회 위원장 선거는 총 11 표 중에서 임 귀현 의원 2 표 , 윤 수봉 의원 1 표 , 유 의식 의원 1 표 , 윤 수봉 의"
id_2014-AGENDA_5," 제 8 대 완주군 의회 전반기 상임 위원회 위원장 선거는 총 10 표 중에서 정성모 의원 6 표로 정성모 의원 당선 . 자치행정 위원장 선거는 총 10 표 중에서 서남용 의원 6 표로 이인숙 의원 당선 . 산업 건설 위원장 선거는 총 10 표 중에서 임 귀현 의원 6 표 , 무효 1 표로 임 옥순 의원 당선 . 부의"
id_2014-AGENDA_6, 제 164 회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2014-AGENDA_7, 제 96 회 완주군 의회 임시회 제 1 차 본회의개의선포.
id_2015-AGENDA_1, 제 164 회 완주군 의회 임시회 제 1 차 본회의개의선포.
id_2015-AGENDA_2, 제 8 대 완주군 의회 전반기 의회 운영 위원장 선거는 총 6 표 중에서 이인숙 의원 6 표로 이인숙 의원 당선 . 자치행정 위원장 선거는 총 6 표 중에서 이인숙 의원 6 표로 이인숙 의원 당선 . 자치행정 위원장 선거는 총 6 표 중에서 임 귀현 의원 4 표로 임 귀현 의원 당선.
id_2015-AGENDA_3, 제 39 회 청주시 의회 ( 2018 년 도제 1 차 정례회 ) 제 1 차 본회의개의선포.
id_2015-AGENDA_4, 제 164 회 제 2 차 정례회 휴회의건은 주요 사업 현지 확인 특별 위원회 활동을 하는 의사일정으로 갈음함.
id_2015-AGENDA_5," 제 8 대 청주시 의회 전반기 의장 선거는 총 10 표 중에서 윤병승 의원 2 표로 최관식 의원 당선 . 2 2 차 투표에서 조천희 의원 선거는 총 10 표 중에서 김용찬 의원 4 표 , 정지태 의원 1 표 중에서 송현중 의원 5 표 , 무효 1 표로 박희남 의원 당선 . 제 2 차 투표는 총 10 "
id_2015-AGENDA_6," 제 2 대 청주시 의회 전반기 의회 운영 위원회 위원으로 윤 수봉 의원 , 윤 수봉 의원 , 이인숙 의원이 선임됨."
id_2016-AGENDA_1, 제 2 대 청주시 의회 전반기 의장 선거는 총 투표수 39 표 중에서 김현기 의원 39 표로 김현기 의원 당선 . 전반기 의장 선거는 총 39 표 중에서 김현기 의원 39 표 중에서에서 임 귀현 의원 당선.
id_2016-AGENDA_2, 제 78 회 완주군 의회 제 1 차 정례회 회의록 서명 의원으로 이희창 의원과 서제일 의원이 선임됨.
id_2016-AGENDA_3, 제 2 대 청주시 의회 전반기 의장 선거는 총 투표수 39 표 중에서 김현기 의원 39 표로 김현기 의원 당선.
id_2018-AGENDA_1, 제 8 대 완주군 의회 임시회 제 1 차 본회의개의선포.
id_2018-AGENDA_2, 제 164 회 완주군 의회 임시회 회의록 서명 의원으로 이재만 의원과 이향자 의원이 선출됨.
id_2018-AGENDA_3, 제 164 회 제 2 차 정례회 회의록 서명 의원으로 정태완 의원과 윤창규 의원이 선출됨.
id_2018-AGENDA_4, 제 59 회 완주군 의회 임시회 회기는 2 월 2 일부터 2 월 9 일까지 2 일 간으로 가결됨.
id_2018-AGENDA_5, 제 99 회 완주군 의회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2020-AGENDA_1," 제 2 회 세입 세출 추가 경정 예산안 심의를 위해 예산 결산 특별 위원회를 구성하고자함. 예산 결산 특별 위원회 위원은 손수 종 의원 , 조천희 의원 , 손 달 섭 의원 , 이대웅 의원 , 이대웅 의원 , 김순옥 의원으로 구성하고자 하며 , 해당 안건은 가결됨."
id_2020-AGENDA_2, 제 164 회 제 2 차 정례회 휴회의건은 주요 사업 현지 확인 특별 위원회 활동을 하는 의사일정으로 갈음함.
id_2020-AGENDA_3, 제 164 회 제 2 차 정례회 제 8 차 본회의개의선포.
id_2020-AGENDA_4," 제 2 회 세입 세출 추가 경정 예산안 심의를 위해 예산 결산 특별 위원회를 구성하고자함. 예산 결산 특별 위원회 위원으로 이희창 의원 , 서제일 의원 , 안 안 성근 의원 , 소학영 의원 , 함정구 의원 , 이석환 의원 , 홍의환 의원 , 김영석 의원 , 소병래 의원 , 조정석 의원 , 이진철 의원 , 박용규 의원 , 남대일 의원으"
id_2020-AGENDA_5, 제 164 회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2020-AGENDA_6, 제 2 대 청주시 의회 전반기 의장 선거는 총 투표수 39 표 중에서 하재성 의원 39 표로 김현기 의원 부의장 당선 . 부의장 선거는 총 39 표 중에서에서 임 옥순 의원 2 표로 전반기 의장 당선 . 부의장 선거는 총 8 표 중에서 임 옥순 의원 6 표로 임 귀현 의원 당선.
id_2020-AGENDA_7, 제 164 회 제 2 차 정례회 제 8 차 본회의개의선포.
id_2020-AGENDA_8, 제 164 회 제 2 차 정례회 회의록 서명 의원으로 정태완 의원과 이한철 의원이 선출됨.
id_2021-AGENDA_1, 제 164 회 제 2 차 정례회 회의록 서명 의원으로 이한철 의원과 이한철 의원이 선출됨.
id_2021-AGENDA_2," 제 2 차 정례회 기간 중 9 일 간 행정 사무 감사를 실시하기 위해 감사 특별 위원회를 구성하고자함. 특별 위원회 위원은 이희창 의원 , 안 성근 의원 , 소학영 의원 , 함정구 의원 , 이석환 의원 , 홍의환 의원 , 김영석 의원 , 소병래 의원 , 조정석 의원 , 이진철 의원 , 남대일 의원 , 남대일 의원으로 구"
id_2021-AGENDA_3, 제 164 회 제 2 차 정례회 회의록 서명 의원으로 이한철 의원과 이한철 의원이 선출됨.
id_2021-AGENDA_4, 제 2 차 정례회 휴회의건은 회기 중 예산 결산 특별 위원회를 구성하여 제 2 차 추가 경정 예산안을 심의하고자 하는 의사일정으로 갈음함. 해당 안건은 가결됨.
id_2021-AGENDA_5," 제 8 대 완주군 의회 전반기 의장 선거는 총 10 표 중에서 정성모 의원 5 표 , 정성모 의원 1 표로 당선 . 전반기 의장 선거는 총 10 표 중에서 김용찬 의원 당선 . 전반기 부의장 선거는 총 10 표로 윤 수봉 의원 당선 . 산업 건설 위원장 선거는 총 10 표 중에서 김용찬 의원 9 표로 김용찬 의"
id_2021-AGENDA_6," 제 164 회 제 2 차 정례회 회의록 서명 의원으로 정태완 의원 , 조천희 의원이 선출됨."
id_2021-AGENDA_7, 제 120 회 완주군 의회 임시회 회기는 7 월 7 일부터 7 월 10 일까지 7 일 간으로 가결됨.
id_2021-AGENDA_8," 제 8 대 완주군 의회 전반기 의장 선거는 총 10 표 중에서 정성모 의원 5 표 , 정성모 의원 5 표로 당선 . 전반기 부의장 선거는 총 10 표 중에서 송현중 의원 6 표 , 정성모 의원 4 표로 정성모 의원 당선 . 부의장 선거는 총 10 표 중에서 정성모 의원 5 표로 김용찬 의원 당선 . 부의장 선거"
id_2023-AGENDA_1, 제 164 회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2023-AGENDA_2," 제 8 대 완주군 의회 전반기 상임 위원장 선거는 총 10 표 중에서 윤 수봉 의원 8 표로 최상철 의원 당선 . 자치행정 위원장 선거는 총 10 표 중에서 이인숙 의원 6 표 , 이인숙 의원 당선 . 산업 건설 위원장 선거는 총 10 표로 임 귀현 의원 당선 . 산업 건설 위원장 선거는 총 10 표 중에서 임 귀"
id_2023-AGENDA_3, 제 8 대 완주군 의회 후반기 상임 위원회 간사로 진행함.
id_2023-AGENDA_4, 제 78 회 완주군 의회 제 1 차 정례회 회기는 7 월 10 일부터 7 월 17 일까지 15 일 간으로 가결됨.
id_2023-AGENDA_5, 제 164 회 제 2 차 정례회 휴회의건은 예산 결산 특별 위원회 활동을 하는 의사일정으로 갈음함.
id_2024-AGENDA_1, 제 164 회 제 2 차 정례회 제 8 차 본회의개의선포.
id_2024-AGENDA_2, 제 164 회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2024-AGENDA_3, 제 164 회 제 2 차 정례회 휴회의건은 회기 중 예산 결산 특별 위원회 활동 의사일정으로 갈음함.
id_2024-AGENDA_4," 제 8 회 세입 세출 추가 경정 예산안 심의를 위해 예산 결산 특별 위원회를 구성하고자함. 예산 결산 특별 위원회 운영 기간은 손수 종 의원 , 조천희 의원 , 이대웅 의원 , 손 달 섭 의원 , 김순옥 의원으로으로 구성하는 것으로 활동 기간은 2013 년 6 월 6 일부터 6 월 16 일까지 "
id_2024-AGENDA_5, 제 164 회 완주군 의회 제 2 차 정례회 제 1 차 본회의개의선포.
id_2024-AGENDA_6," 제 8 회 청주시 의회 전반기 의회 운영 위원회 위원으로 윤 수봉 의원 , 윤 수봉 의원 , 이인숙 의원 , 이인숙 의원 , 임 귀현 의원이 선임됨."
id_2024-AGENDA_7, 제 164 회 완주군 의회 임시회 제 1 차 본회의개의선포.
